time_s,phase,conveyor_velocity_mps,st1_s0_arrival,st1_s1_part_a_seated,st1_s2_part_b_seated,st1_s3_alignment_ok,st2_s0_assembly_present,st2_s1_screw_loaded,st2_s2_assembly_exit,torque_nm,screw_angle_deg,st3_s0_arrival,st3_s1_check,st3_s2_check,st3_s3_check,st3_s4_check,st3_s5_check,st3_s6_check
4.3,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
4.4,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
4.5,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
4.6,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
4.7,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
4.8,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
4.9,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
5.0,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
5.1,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
5.2,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
5.3,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
5.4,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
5.5,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
5.6,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
5.7,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
5.8,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
5.9,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
6.0,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
6.1,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
6.2,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
6.3,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
6.4,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
6.5,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
6.6,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
6.7,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
6.8,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
6.9,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
7.0,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
7.1,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
7.2,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
7.3,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
7.4,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
7.5,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
7.6,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
7.7,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
7.8,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
7.9,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
8.0,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
8.1,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
8.2,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
8.3,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
8.4,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
8.5,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
8.6,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
8.7,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
8.8,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
8.9,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
9.0,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
9.1,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
9.2,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
9.3,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
9.4,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
9.5,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
9.6,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
9.7,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
9.8,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
9.9,transport_to_station_1,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10.0,station_1_positioning,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10.1,station_1_positioning,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10.2,station_1_positioning,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10.3,station_1_positioning,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10.4,station_1_positioning,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10.5,station_1_positioning,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10.6,station_1_positioning,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10.7,station_1_positioning,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10.8,station_1_positioning,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
10.9,station_1_positioning,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
11.0,station_1_positioning,0.0,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
11.1,station_1_positioning,0.0,1,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
11.2,station_1_positioning,0.0,1,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
11.3,station_1_positioning,0.0,1,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
11.4,station_1_positioning,0.0,1,1,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
11.5,station_1_positioning,0.0,1,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
11.6,station_1_positioning,0.0,1,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
11.7,station_1_positioning,0.0,1,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
11.8,station_1_positioning,0.0,1,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
11.9,station_1_positioning,0.0,1,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
12.0,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
12.1,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
12.2,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
12.3,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
12.4,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
12.5,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
12.6,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
12.7,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
12.8,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
12.9,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
13.0,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
13.1,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
13.2,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
13.3,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
13.4,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
13.5,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
13.6,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
13.7,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
13.8,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
13.9,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
14.0,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
14.1,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
14.2,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
14.3,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
14.4,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
14.5,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
14.6,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
14.7,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
14.8,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
14.9,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
15.0,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
15.1,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
15.2,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
15.3,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
15.4,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
15.5,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
15.6,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
15.7,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
15.8,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
15.9,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
16.0,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
16.1,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
16.2,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
16.3,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
16.4,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
16.5,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
16.6,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
16.7,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
16.8,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
16.9,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
17.0,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
17.1,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
17.2,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
17.3,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
17.4,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
17.5,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
17.6,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
17.7,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
17.8,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
17.9,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
18.0,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
18.1,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
18.2,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
18.3,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
18.4,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
18.5,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
18.6,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
18.7,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
18.8,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
18.9,station_1_positioning,0.0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0
19.0,station_1_positioning,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
19.1,station_1_positioning,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
19.2,station_1_positioning,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
19.3,station_1_positioning,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
19.4,station_1_positioning,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
19.5,station_1_positioning,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
19.6,station_1_positioning,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
19.7,station_1_positioning,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
19.8,station_1_positioning,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
19.9,station_1_positioning,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
20.0,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
20.1,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
20.2,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
20.3,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
20.4,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
20.5,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
20.6,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
20.7,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
20.8,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
20.9,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
21.0,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
21.1,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
21.2,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
21.3,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
21.4,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
21.5,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
21.6,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
21.7,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
21.8,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
21.9,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
22.0,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
22.1,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
22.2,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
22.3,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
22.4,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
22.5,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
22.6,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
22.7,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
22.8,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
22.9,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
23.0,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
23.1,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
23.2,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
23.3,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
23.4,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
23.5,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
23.6,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
23.7,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
23.8,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
23.9,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
24.0,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
24.1,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
24.2,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
24.3,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
24.4,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
24.5,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
24.6,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
24.7,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
24.8,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
24.9,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
25.0,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
25.1,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
25.2,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
25.3,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
25.4,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
25.5,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
25.6,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
25.7,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
25.8,transport_to_station_2,0.25,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0
